,category,name,ingredients,method,garnish,diffords,diffords_url,method_esp,diff_glass,diff_garnish,diff_nutrition
0,Contemporary Classics,Bellini,"100 ml Prosecco,50 ml White Peach Puree","Pour peach puree into the mixing glass with ice, add the Prosecco wine. Stir gently and pour in a chilled flute glass.  Note: PUCCINI - Fresh Mandarin Orange Juice; ROSSINI - Fresh Strawberry Puree; TINTORETTO - Fresh Pomegranate Juice.",,Bellini,/cocktails/recipe/202/bellini-diffords-recipe,"Vierta el puré de melocotón en el vaso mezclador con hielo, añada el vino Prosecco. Remover suavemente y servir en una copa flauta fría.  Nota: PUCCINI - Zumo fresco de mandarina; ROSSINI - Puré fresco de fresa; TINTORETTO - Zumo fresco de granada.",Flute glass,Peach slice on rim,105.0
1,Contemporary Classics,Black Russian,"50 ml Vodka,20 ml Coffee Liqueur",Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently.  Note: WHITE RUSSIAN - Float fresh cream on the top and stir in slowly.,,Black Russian,/cocktails/recipe/236/black-russian,Vierta los ingredientes en el vaso old fashioned lleno de cubitos de hielo. Remover suavemente.  Nota: RUSO BLANCO - Poner nata fresca encima y remover lentamente.,Old-fashioned glass,Lemon slice & Luxardo Maraschino cherry on stick (sail),197.0
2,Contemporary Classics,Bloody Mary,"45 ml Vodka,90 ml Tomato Juice,15 ml Fresh Lemon Juice,2 dashes Worcestershire Sauce,Tabasco,Celery Salt,Pepper (Up to taste)","Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass. Note: If requested served with ice, pour into highball glass.","Celery, Lemon Wedge (Optional)",Bloody Mary,/cocktails/recipe/2307/bloody-mary-diffords-recipe,"Remover suavemente todos los ingredientes en un vaso mezclador con hielo y verter en un vaso con hielo. Nota: Si se desea servir con hielo, verter en un vaso highball.",Collins glass,"Celery salt & black pepper rim + garnish with celery stick, cherry tomato & strip yellow bell pepper",
3,Contemporary Classics,Caipirinha,"60 ml Cachaça,1 Lime cut into small wedges,4 Teaspoons White Cane Sugar",Place lime and sugar into a double old fashioned glass and muddle gently. Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients. Note: CAIPIROSKA - Instead of Cachaça use Vodka;,,Caipirinha,/cocktails/recipe/354/caipirinha,"Poner la lima y el azúcar en un vaso old fashioned doble y remover suavemente. Llene el vaso con hielo picado y añada la cachaça. Remover suavemente para mezclar los ingredientes. Nota: CAIPIROSKA - En lugar de cachaça, utilice vodka;",Highball (max 10oz/300ml),"Stirrer (spoon, wooden lolly stick or stick cut from sugar cane)",
4,Contemporary Classics,Champagne Cocktail,"90 ml Chilled Champagne,10 ml Cognac,2 dashes Angostura bitters,Few drops of Grand Marnier (optional),1 sugar cube","Place the sugar cube with 2 dashes of bitters in a large Champagne glass, add the cognac. Pour gently chilled Champagne.",Garnish with orange zest and maraschino cherry.,Champagne Cocktail,/cocktails/recipe/393/champagne-cocktail,"Ponga el terrón de azúcar con 2 chorritos de amargo en una copa grande de champán, añada el coñac. Vierta el champán ligeramente frío.",Flute glass,Orange zest twist (discarded),
5,Contemporary Classics,Cosmopolitan,"40 ml Vodka Citron,15 ml Cointreau,15 ml Fresh Lime Juice,30 ml Cranberry Juice",Add all ingredients into a cocktail shaker filled with ice. Shake well and strain into a large cocktail glass.,Garnish with a lemon twist.,Cosmopolitan,/cocktails/recipe/472/cosmopolitan-cocktail-diffords-recipe,Añada todos los ingredientes en una coctelera llena de hielo. Agitar bien y colar en una copa de cóctel grande.,Coupe glass,Orange zest twist (flamed),160.0
6,Contemporary Classics,Cuba Libre,"50 ml White Rum,120 ml Coca Cola,10 ml Fresh Lime Juice",Build all ingredients in a highball glass filled with ice.,Garnish with lime wedge.,Cuba Libre,/cocktails/recipe/495/cuba-libre,Poner todos los ingredientes en un vaso highball lleno de hielo.,Collins glass,Lime wedge,
7,Contemporary Classics,French 75,"30 ml Gin,15 ml Fresh Lemon Juice,15 ml Sugar Syrup,60 ml Champagne","Pour all the ingredients, except Champagne, into a shaker. Shake well and strain into a Champagne flute. Top up with Champagne. Stir gently.",,French 75,/cocktails/recipe/790/french-75-cocktail,"Vierta todos los ingredientes, excepto el champán, en una coctelera. Agitar bien y colar en una copa de champán. Rellenar con champán. Remover suavemente.",Flute glass,Lemon zest twist on rim,
8,Contemporary Classics,French Connection,"35 ml Cognac,35 ml Amaretto",Pour all ingredients directly into an old fashioned glass filled with ice cubes. Stir gently.,,French Connection,/cocktails/recipe/2415/french-connection,Vierta todos los ingredientes directamente en un vaso old fashioned lleno de cubitos de hielo. Remover suavemente.,Old-fashioned glass,Lemon zest twist,185.0
9,Contemporary Classics,Golden Dream,"20 ml Galliano,20 ml Triple Sec,20 ml Fresh Orange Juice,10 ml Fresh Cream",Pour all ingredients into shaker filled with ice. Shake briskly for few seconds. Strain into chilled cocktail glass.,,Golden Dream,/cocktails/recipe/875/golden-dream,Vierta todos los ingredientes en una coctelera llena de hielo. Agitar enérgicamente durante unos segundos. Colar en una copa de cóctel fría.,Coupe glass,Sponge biscuit,
10,Contemporary Classics,Grasshopper,"20 ml Crème de Cacao (White),20 ml Crème de Menthe (Green),20 ml Fresh Cream",Pour all ingredients into shaker filled with ice. Shake briskly for few seconds. Strain into chilled cocktail glass.,"N/A, optional mint leaf",Grasshopper,/cocktails/recipe/12892/grasshopper-no-2,Vierta todos los ingredientes en una coctelera llena de hielo. Agitar enérgicamente durante unos segundos. Colar en una copa de cóctel fría.,Old-fashioned glass,Dust with grated chocolate and add a mint sprigs bouquet. Serve with a straw.,
11,Contemporary Classics,Hemingway Special,"60 ml Rum,40 ml Grapefruit Juice,15 ml Maraschino Luxardo,15 ml Fresh Lime",Pour all ingredients into a shaker with ice. Shake well and strain into a large cocktail glass.,,Hemingway Special,/cocktails/recipe/954/hemingway-special-daiquiri-papa-doble,Vierta todos los ingredientes en una coctelera con hielo. Agitar bien y colar en una copa de cóctel grande.,Martini (large 10oz) glass,Luxardo maraschino cherry &/or lime wedge/wheel,345.0
12,Contemporary Classics,Horse's Neck,"40 ml Cognac,120 ml Ginger Ale,Dash of Angostura Bitters (optional)","Pour Cognac and ginger ale directly into a highball glass with ice cubes. Stir gently. If preferred, add dashes of Angostura Bitter.",Garnish with a rind of one lemon spiral.,Horse's Neck,/cocktails/recipe/979/horses-neck-with-a-kick,"Vierta el coñac y el ginger ale directamente en un vaso highball con cubitos de hielo. Remover suavemente. Si lo prefiere, añada unos chorritos de amargo de angostura.",Highball (max 10oz/300ml),Lemon peel (whole),
13,Contemporary Classics,Irish Coffee,"50 ml Irish Whiskey,120 ml Hot coffee,50 ml Fresh cream (Chilled),1 teaspoon Sugar",Warm black coffee is poured into a pre-heated Irish coffee glass. Whiskey and at least one teaspoon of sugar is added and stirred until dissolved. Fresh thick chilled cream is carefully poured over the back of a spoon held just above the surface of the coffee. The layer of cream will float on the coffee without mixing. Plain sugar can be replaced with sugar syrup,,Irish Coffee,/cocktails/recipe/1021/irish-coffee,"Se vierte café negro caliente en un vaso de café irlandés precalentado. Se añade whisky y al menos una cucharadita de azúcar y se remueve hasta que se disuelva. Se vierte con cuidado nata fresca, espesa y fría sobre el dorso de una cuchara, justo por encima de la superficie del café. La capa de nata flotará sobre el café sin mezclarse. El azúcar común puede sustituirse por jarabe de azúcar",Toddy glass,Dust with freshly grated nutmeg and/or float 3 coffee beans,163.0
14,Contemporary Classics,Margarita,"50 ml Tequila 100% Agave,20 ml Triple Sec,15 ml Freshly Squeezed Lime Juice",Add all ingredients into a shaker with ice. Shake and strain into a chilled cocktail glass,Half salt rim (Optional),Margarita,/cocktails/recipe/1255/margarita-on-the-rocks-diffords-recipe,Añada todos los ingredientes en una coctelera con hielo. Agitar y colar en una copa de cóctel fría.,Old-fashioned glass,Salt rim (optional) & lime wedge,
15,Contemporary Classics,Mimosa,"75 ml Fresh orange juice,75 ml Prosecco",Pour orange juice into a flute glass and gently pour the sparkling wine. Stir gently. Note: Also known as Buck's Fizz.,Garnish with an orange twist (optional).,Mimosa,/cocktails/recipe/1324/mimosa,Vierta el zumo de naranja en una copa flauta y vierta suavemente el vino espumoso. Remover suavemente. Nota: También conocido como Buck's Fizz.,Goblet glass,Orange zest twist (discarded) & orange slice,67.0
16,Contemporary Classics,Mint Julep,"60 ml Bourbon Whiskey,4 fresh Mint sprigs,1 tsp Powdered Sugar,2 tsp Water","In Julep Stainless Steel Cup gently muddle the mint with sugar and water. Fill the glass with cracked ice, add the Bourbon and stir well until the cup frosts.",Garnish with a mint sprig.,Mint Julep,/cocktails/recipe/1330/mint-julep-cocktail,"En un vaso de acero inoxidable Julep, mezclar suavemente la menta con el azúcar y el agua. Llene el vaso con hielo picado, añada el Bourbon y remueva bien hasta que la copa se escarche.",Julep tin,Mint sprigs bouquet dusted with icing sugar,
17,Contemporary Classics,Mojito,"45 ml White Cuban Ron,20 ml Fresh Lime Juice,6 pcs Mint Sprigs,2 tsp White Cane Sugar,Soda Water",Mix mint springs with sugar and lime juice. Add splash of soda water and fill the glass with ice. Pour the rum and top with soda water. Light stir to involve all ingredients.,Garnish with sprigs of mint and slice of lime.,Mojito,/cocktails/recipe/1341/mojito-cocktail,Mezcle los manantiales de menta con el azúcar y el zumo de lima. Añada un chorrito de soda y llene el vaso con hielo. Verter el ron y completar con agua de soda. Remover ligeramente para mezclar todos los ingredientes.,Collins glass,Mint sprigs bouquet,
18,Contemporary Classics,Moscow Mule,"45 ml Smirnoff Vodka,120 ml Ginger Beer,10 ml Fresh lime juice","In a Mule Cup or rocks glass, combine the vodka and ginger beer. Add lime juice and gently stir to involve all ingredients.",Garnish with a lime slice,Moscow Mule,/cocktails/recipe/1366/moscow-mule,"En una Mule Cup o un vaso con hielo, mezcla el vodka y la cerveza de jengibre. Añada el zumo de lima y remueva suavemente para mezclar todos los ingredientes.",Copper mug or Collins glass,"Lime slice, mint sprigs bouquet & straw",207.0
19,Contemporary Classics,Pina Colada,"50 ml White Rum,30 ml Coconut Cream,50 ml Fresh Pineapple Juice","Blend all the ingredients with ice in an electric blender, pour into a large glass, and serve with straws.  Note: Historically a few drops of fresh lime juice were added to taste. 4 slices of fresh pineapple can be used instead of juice",Garnish with a slice of pineapple with a cocktail cherry.,Pina Colada,/cocktails/recipe/3377/pina-colada-diffords-recipe,"Mezclar todos los ingredientes con hielo en una batidora eléctrica, verter en un vaso grande y servir con pajitas.  Nota: Históricamente se añadían unas gotas de zumo de lima fresco al gusto. Se pueden utilizar 4 rodajas de piña fresca en lugar de zumo.",Poco grande,"Parasol, pineapple wedge & Luxardo Maraschino cherry",
20,Contemporary Classics,Pisco Sour,"60 ml Pisco,30 ml Fresh Lemon Juice,20 ml Simple Syrup,1 Raw Egg White",Add all ingredients into a shaker with ice. Shake and strain into a chilled goblet glass.,Few dashes of Amargo bitters on top as an aromatic garnish.,Pisco Sour,/cocktails/recipe/1562/pisco-sour-traditional-recipe,Añada todos los ingredientes en una coctelera con hielo. Agitar y colar en un vaso frío.,Goblet glass,Float three drops of Amargo Chuncho or Angostura aromatic bitters to signify health wealth and happiness.,
21,Contemporary Classics,Singapore Sling,"30 ml Gin,15 ml Cherry liqueur,7.5 ml Cointreau,7.5 ml DOM Bénédictine,120 ml Fresh Pineapple Juice,15 ml Fresh Lime Juice,10 ml Grenadine Syrup,A dash of Angostura bitters",Pour all ingredients into a cocktail shaker filled with ice cubes. Shake well. Strain into Hurricane glass.,Garnish with pineapple and maraschino cherry,Singapore Sling,/cocktails/recipe/4627/singapore-sling-dale-degroffs-recipe,Vierta todos los ingredientes en una coctelera llena de cubitos de hielo. Agitar bien. Colar en una copa Hurricane.,Sling glass,Pineapple slice and Luxardo maraschino cherry,227.0
22,Contemporary Classics,Tequila Sunrise,"45 ml Tequila,90 ml Fresh Orange Juice,15 ml Grenadine Syrup","Pour tequila and orange juice directly into highball glass filled with ice cubes. Add the grenadine syrup to create chromatic effect (sunrise), do not stir.",Garnish with half orange slice or an orange zest,Tequila Sunrise,/cocktails/recipe/1935/tequila-sunrise,"Verter el tequila y el zumo de naranja directamente en un vaso highball lleno de cubitos de hielo. Añadir el jarabe de granadina para crear un efecto cromático (amanecer), no remover.",Collins glass,Lime wheel,210.0
23,Contemporary Classics,Vesper,"45 ml Gin,15 ml Vodka,7.5 ml Lillet Blanc",Pour all ingredients into a cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,Lemon zest,Vesper,/cocktails/recipe/2597/vesper-dry-martini,Vierta todos los ingredientes en una coctelera llena de cubitos de hielo. Agitar y colar en una copa de cóctel fría.,Martini glass,Lemon zest twist,191.0
24,Contemporary Classics,Zombie,"45 ml Jamaican dark rum,45 ml Gold Puerto Rican rum,30 ml Demerara Rum,20 ml Fresh lime juice,15 ml Falernum,15 ml Donn's Mix,1 tsp Grenadine syrup,1 dash Angostura bitters,6 drops Pernod",Add all ingredients into an electric blender with 170 grams of cracked ice. With pulse bottom blend for a few seconds. Serve in a tall tumbler glass.  Note: Donn's Mix: 2 parts of fresh yellow grapefruit and 1 part of cinnamon syrup,Garnish with mint leaves.,Zombie,/cocktails/recipe/2131/zombie,Añada todos los ingredientes en una batidora eléctrica con 170 gramos de hielo picado. Triturar con el pulsador inferior durante unos segundos. Servir en un vaso alto.  Nota: Donn's Mix: 2 partes de pomelo amarillo fresco y 1 parte de sirope de canela.,Zombie or Collins glass,Mint sprigs bouquet & straw,
25,New Era Drinks,Barracuda,"45 ml Gold Rum,15 ml Galliano,60 ml Fresh Pineapple Juice,1 dash Fresh Lime Juice,Top up with Prosecco","Pour all ingredients into cocktail shaker except the Prosecco, shake well with ice, strain into chilled highball glass filled with ice and top up with Prosecco.","Pineapple and Cherry, optional mint sprig for additional aroma.",Barracuda,/cocktails/recipe/4823/barracuda,"Vierta todos los ingredientes en la coctelera excepto el Prosecco, agite bien con hielo, cuele en un vaso alto frío lleno de hielo y complete con Prosecco.",Coupe glass,Pineapple wedge,
26,New Era Drinks,Bee's Knees,"52.5 ml Dry Gin,2 teaspoons Honey Syrup,22.5 ml Fresh Lemon Juice,22.5 ml Fresh Orange Juice","Stir honey with lemon and orange juices until it dissolves, add gin and shake with ice. Strain into a chilled cocktail glass.",Optionally garnish with a lemon or orange zest.,Bee's Knees,/cocktails/recipe/2144/bees-knees,"Remover la miel con los zumos de limón y naranja hasta que se disuelva, añadir la ginebra y agitar con hielo. Colar en una copa de cóctel fría.",Coupe glass,Orange zest twist,172.0
27,New Era Drinks,Bramble,"50 ml Gin,25 ml Fresh Lemon Juice,12.5 ml Sugar Syrup,15 ml Crème de Mûre","Pour all ingredients into a cocktail shaker except the Crème de Mûre, shake well with ice, strain into chilled old fashioned glass filled with crushed ice, then pour the blackberry liqueur (Crème de Mûre) over the top of the drink, in a circular motion.",Garnish optionally with a lemon slice and blackberries.,Bramble,/cocktails/recipe/305/bramble,"Vierta todos los ingredientes en una coctelera excepto la Crème de Mûre, agite bien con hielo, cuele en un vaso old fashioned frío lleno de hielo picado y, a continuación, vierta el licor de mora (Crème de Mûre) por encima de la bebida, con movimientos circulares.",Double old-fashioned,Blackberry & lemon slice dusted with icing sugar,176.0
28,New Era Drinks,Espresso Martini,"50 ml Vodka,30 ml Kahlúa,10 ml Sugar Syrup,1 strong Espresso","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",,Espresso Martini,/cocktails/recipe/725/espresso-martini,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",Martini glass,"Lemon zest twist (discarded) plus float coffee beans arranged in a petal formation floating in the centre of the drinks creamy surface. The floating of three beans comes from the traditional serving of Sambuca in Italy where the floating beans are called con la mosca, meaning 'with the fly'. Three beans represent health, wealth and happiness.",
29,New Era Drinks,Fernandito,"50 ml Fernet Branca,Fill up with Cola","Pour the Fernet Branca into a double old fashioned glass with ice, fill the glass up with Cola. Gently stir.",,Fernandito,/cocktails/recipe/17620/fernandito,Vierta el Fernet Branca en un vaso old fashioned doble con hielo y llene el vaso con Cola. Remover suavemente.,Double old-fashioned,Lime wedge,141.0
30,New Era Drinks,French Martini,"45 ml Vodka,15 ml Raspberry Liqueur,15 ml Fresh Pineapple Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Squeeze oil from lemon peel onto the drink.,French Martini,/cocktails/recipe/798/french-martini,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",Martini glass,Pineapple wedge on rim,208.0
31,New Era Drinks,Illegal,"30 ml Espadin Mezcal,15 ml Jamaica Overproof White Rum,15 ml Falernum,1 Bar Spoon Maraschino Luxardo,22.5 ml Fresh Lime Juice,15 ml Simple Syrup,Few Drops of Egg White (Optional)","Pour all ingredients into the shaker. Shake vigorously with ice. Strain into a chilled cocktail glass, or “on the rocks” in a traditional clay or terracotta mug.",,Illegal,/cocktails/recipe/17623/illegal-margarita,"Vierta todos los ingredientes en la coctelera. Agitar enérgicamente con hielo. Colar en una copa de cóctel fría, o ""con hielo"" en una taza tradicional de barro o terracota.",Coupe glass,Lime zest twist (discarded) & garnish with dehydrated lime slice wheel,
32,New Era Drinks,New York Sour,"60 ml Rye Whiskey or Bourbon,22.5 ml Simple syrup,30 ml Fresh lemon juice,Few Drops of Egg White,15 ml Red wine (Shiraz or Malbech)",Pour all ingredients into the shaker. Shake vigorously with ice. Strain into a chilled rocks glass filled with ice. Float the wine on top.,Garnish with lemon or orange zest with cherry.,New York Sour,/cocktails/recipe/3398/new-york-sour-cocktail,Vierta todos los ingredientes en la coctelera. Agitar enérgicamente con hielo. Colar en un vaso con hielo. Hacer flotar el vino por encima.,Old-fashioned glass,Lemon zest twist,223.0
33,New Era Drinks,Old Cuban,"6/8 pcs Mint Leaves,45 ml Aged Rum,22.5 ml Fresh Lime Juice,30 ml Simple Syrup,2 Dashes Angostura Bitters,60 ml Brut Champagne or Prosecco","Pour all ingredients into cocktail shaker except the wine, shake well with ice, strain into chilled elegant cocktail glass. Top up with the sparkling wine.",Garnish with mint springs.,Old Cuban,/cocktails/recipe/4901/old-cuban-highball,"Verter todos los ingredientes en la coctelera excepto el vino, agitar bien con hielo y colar en una copa de cóctel elegante y fría. Completar con el vino espumoso.",Highball (max 10oz/300ml),Mint sprig bouquet,
34,New Era Drinks,Paloma,"50 ml 100% Agave Tequila,5 ml Fresh lime,A pinch of Salt,100 ml Pink Grapefruit Soda","Poor the tequila into a highball glass, squeeze the lime juice. Add ice and salt, fill up pink grapefruit soda. Stir gently.",Garnish with a slice of lime.,Paloma,/cocktails/recipe/1456/paloma,"Vierta el tequila en un vaso highball, exprima el zumo de lima. Añada hielo y sal, rellene el refresco de pomelo rosa. Remover suavemente.",Collins glass,Salt rim (optional) & pink or red grapefruit wedge,158.0
35,New Era Drinks,Paper Plane,"30 ml Bourbon Whiskey,30 ml Amaro Nonino,30 ml Aperol,30 ml Fresh Lemon Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",,Paper Plane,/cocktails/recipe/3630/paper-plane,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",Coupe glass,Lemon zest twist,168.0
